id,condition_id,trial_id,created_at,updated_at
1,1,1,2015-03-29 22:37:48.365484,2015-03-29 22:37:48.365484
2,1,2,2015-03-29 22:42:29.062852,2015-03-29 22:42:29.062852
3,2,2,2015-03-29 22:42:29.071414,2015-03-29 22:42:29.071414
4,1,3,2015-03-29 22:44:35.403844,2015-03-29 22:44:35.403844
5,1,4,2015-03-29 22:45:53.549604,2015-03-29 22:45:53.549604
6,3,4,2015-03-29 22:45:53.563979,2015-03-29 22:45:53.563979
7,1,5,2015-03-29 22:47:53.995231,2015-03-29 22:47:53.995231
8,4,5,2015-03-29 22:47:54.005343,2015-03-29 22:47:54.005343
9,1,6,2015-03-30 00:20:02.464078,2015-03-30 00:20:02.464078
10,3,7,2015-03-30 00:22:36.731208,2015-03-30 00:22:36.731208
11,1,7,2015-03-30 00:22:36.732664,2015-03-30 00:22:36.732664
12,2,8,2015-03-30 00:24:15.128592,2015-03-30 00:24:15.128592
13,1,8,2015-03-30 00:24:15.129772,2015-03-30 00:24:15.129772
14,1,9,2015-03-30 00:26:45.050993,2015-03-30 00:26:45.050993
15,1,10,2015-03-30 00:28:10.807631,2015-03-30 00:28:10.807631
16,1,11,2015-03-30 00:31:52.066001,2015-03-30 00:31:52.066001
17,1,12,2015-03-30 00:33:30.629344,2015-03-30 00:33:30.629344
18,1,13,2015-03-30 00:35:35.446001,2015-03-30 00:35:35.446001
19,1,14,2015-03-30 00:39:42.733452,2015-03-30 00:39:42.733452
20,1,15,2015-03-30 00:41:35.364457,2015-03-30 00:41:35.364457
21,4,15,2015-03-30 00:41:35.366038,2015-03-30 00:41:35.366038
22,1,16,2015-03-30 00:44:59.146495,2015-03-30 00:44:59.146495
23,2,17,2015-03-30 00:46:43.995376,2015-03-30 00:46:43.995376
24,1,17,2015-03-30 00:46:43.996453,2015-03-30 00:46:43.996453
25,4,17,2015-03-30 00:46:43.997984,2015-03-30 00:46:43.997984
26,1,18,2015-03-30 00:48:39.21215,2015-03-30 00:48:39.21215
27,4,18,2015-03-30 00:48:39.213784,2015-03-30 00:48:39.213784
28,1,19,2015-03-30 00:50:28.994614,2015-03-30 00:50:28.994614
29,2,20,2015-03-30 00:51:37.112246,2015-03-30 00:51:37.112246
30,1,20,2015-03-30 00:51:37.114005,2015-03-30 00:51:37.114005
31,5,21,2015-03-30 01:03:49.303985,2015-03-30 01:03:49.303985
32,5,22,2015-03-30 01:06:06.212899,2015-03-30 01:06:06.212899
33,6,22,2015-03-30 01:06:06.219986,2015-03-30 01:06:06.219986
34,5,23,2015-03-30 01:08:21.43289,2015-03-30 01:08:21.43289
35,5,24,2015-03-30 01:10:38.531373,2015-03-30 01:10:38.531373
36,5,25,2015-03-30 01:12:59.820434,2015-03-30 01:12:59.820434
37,5,26,2015-03-30 01:19:51.827861,2015-03-30 01:19:51.827861
38,5,27,2015-03-30 01:22:50.830277,2015-03-30 01:22:50.830277
39,5,28,2015-03-30 01:24:28.986357,2015-03-30 01:24:28.986357
40,5,29,2015-03-30 01:25:51.278156,2015-03-30 01:25:51.278156
41,5,30,2015-03-30 01:27:54.30175,2015-03-30 01:27:54.30175
42,6,30,2015-03-30 01:27:54.303594,2015-03-30 01:27:54.303594
43,5,31,2015-03-30 01:31:22.532098,2015-03-30 01:31:22.532098
44,5,32,2015-03-30 01:33:09.600989,2015-03-30 01:33:09.600989
45,5,33,2015-03-30 01:35:13.897461,2015-03-30 01:35:13.897461
46,5,34,2015-03-30 01:37:19.58412,2015-03-30 01:37:19.58412
47,5,35,2015-03-30 01:39:13.862141,2015-03-30 01:39:13.862141
48,5,36,2015-03-30 01:43:12.823298,2015-03-30 01:43:12.823298
49,5,37,2015-03-30 01:45:02.737834,2015-03-30 01:45:02.737834
50,5,38,2015-03-30 01:46:46.98979,2015-03-30 01:46:46.98979
51,5,39,2015-03-30 01:48:29.837452,2015-03-30 01:48:29.837452
52,5,40,2015-03-30 01:49:48.313662,2015-03-30 01:49:48.313662
53,7,41,2015-03-30 01:58:48.973056,2015-03-30 01:58:48.973056
54,8,41,2015-03-30 01:58:48.975702,2015-03-30 01:58:48.975702
55,7,42,2015-03-30 02:00:23.460897,2015-03-30 02:00:23.460897
56,7,43,2015-03-30 02:11:24.282789,2015-03-30 02:11:24.282789
57,7,44,2015-03-30 02:12:31.154313,2015-03-30 02:12:31.154313
58,7,45,2015-03-30 02:14:43.983086,2015-03-30 02:14:43.983086
59,7,46,2015-03-30 02:17:39.147357,2015-03-30 02:17:39.147357
60,7,47,2015-03-30 02:19:15.380287,2015-03-30 02:19:15.380287
61,7,48,2015-03-30 02:21:06.063496,2015-03-30 02:21:06.063496
62,7,49,2015-03-30 02:22:52.946944,2015-03-30 02:22:52.946944
63,7,50,2015-03-30 02:24:29.146702,2015-03-30 02:24:29.146702
64,9,51,2015-03-30 02:29:46.794623,2015-03-30 02:29:46.794623
65,10,51,2015-03-30 02:29:46.797401,2015-03-30 02:29:46.797401
66,9,52,2015-03-30 02:32:52.5996,2015-03-30 02:32:52.5996
67,10,52,2015-03-30 02:32:52.60097,2015-03-30 02:32:52.60097
