id,exclusion_id,trial_id,created_at,updated_at
1,1,1,2015-03-29 22:37:48.373808,2015-03-29 22:37:48.373808
2,2,1,2015-03-29 22:37:48.377977,2015-03-29 22:37:48.377977
3,3,1,2015-03-29 22:37:48.380079,2015-03-29 22:37:48.380079
4,4,1,2015-03-29 22:37:48.382115,2015-03-29 22:37:48.382115
5,5,1,2015-03-29 22:37:48.384355,2015-03-29 22:37:48.384355
6,6,1,2015-03-29 22:37:48.38661,2015-03-29 22:37:48.38661
7,7,1,2015-03-29 22:37:48.388702,2015-03-29 22:37:48.388702
8,8,1,2015-03-29 22:37:48.390812,2015-03-29 22:37:48.390812
9,9,1,2015-03-29 22:37:48.392882,2015-03-29 22:37:48.392882
10,1,2,2015-03-29 22:42:29.064429,2015-03-29 22:42:29.064429
11,6,2,2015-03-29 22:42:29.065729,2015-03-29 22:42:29.065729
12,7,2,2015-03-29 22:42:29.066851,2015-03-29 22:42:29.066851
13,8,2,2015-03-29 22:42:29.068061,2015-03-29 22:42:29.068061
14,10,2,2015-03-29 22:42:29.074684,2015-03-29 22:42:29.074684
15,11,2,2015-03-29 22:42:29.077005,2015-03-29 22:42:29.077005
16,1,3,2015-03-29 22:44:35.405495,2015-03-29 22:44:35.405495
17,2,3,2015-03-29 22:44:35.406773,2015-03-29 22:44:35.406773
18,6,3,2015-03-29 22:44:35.407901,2015-03-29 22:44:35.407901
19,7,3,2015-03-29 22:44:35.409022,2015-03-29 22:44:35.409022
20,8,3,2015-03-29 22:44:35.410042,2015-03-29 22:44:35.410042
21,12,3,2015-03-29 22:44:35.414079,2015-03-29 22:44:35.414079
22,13,3,2015-03-29 22:44:35.416082,2015-03-29 22:44:35.416082
23,1,4,2015-03-29 22:45:53.551665,2015-03-29 22:45:53.551665
24,10,4,2015-03-29 22:45:53.553096,2015-03-29 22:45:53.553096
25,1,5,2015-03-29 22:47:53.997526,2015-03-29 22:47:53.997526
26,4,5,2015-03-29 22:47:53.998792,2015-03-29 22:47:53.998792
27,6,5,2015-03-29 22:47:53.999819,2015-03-29 22:47:53.999819
28,7,5,2015-03-29 22:47:54.000748,2015-03-29 22:47:54.000748
29,8,5,2015-03-29 22:47:54.001765,2015-03-29 22:47:54.001765
30,9,5,2015-03-29 22:47:54.002642,2015-03-29 22:47:54.002642
31,14,5,2015-03-29 22:47:54.00953,2015-03-29 22:47:54.00953
32,1,6,2015-03-30 00:20:02.46567,2015-03-30 00:20:02.46567
