id,name,created_at,updated_at
1,Under 18 years of age,2015-03-29 22:37:48.367993,2015-03-29 22:37:48.367993
2,History of Heart Disease,2015-03-29 22:37:48.376441,2015-03-29 22:37:48.376441
3,History of Stroke,2015-03-29 22:37:48.37877,2015-03-29 22:37:48.37877
4,Hypertensive,2015-03-29 22:37:48.380888,2015-03-29 22:37:48.380888
5,Epileptic,2015-03-29 22:37:48.382885,2015-03-29 22:37:48.382885
6,Pregnant,2015-03-29 22:37:48.385235,2015-03-29 22:37:48.385235
7,Nursing,2015-03-29 22:37:48.387441,2015-03-29 22:37:48.387441
8,History of Substance Abuse,2015-03-29 22:37:48.389537,2015-03-29 22:37:48.389537
9,History of Mental Illness,2015-03-29 22:37:48.391569,2015-03-29 22:37:48.391569
10,Significant Nasal Disorder,2015-03-29 22:42:29.073237,2015-03-29 22:42:29.073237
11,Migraine,2015-03-29 22:42:29.075546,2015-03-29 22:42:29.075546
12,Over 65 years of age,2015-03-29 22:44:35.412442,2015-03-29 22:44:35.412442
13,History of Pulmonary Disease,2015-03-29 22:44:35.414829,2015-03-29 22:44:35.414829
14,Over 70 years of age,2015-03-29 22:47:54.007838,2015-03-29 22:47:54.007838
15,History of Myocardial Infarction,2015-03-30 00:22:36.741991,2015-03-30 00:22:36.741991
16,Over 75 years of age,2015-03-30 00:26:45.057846,2015-03-30 00:26:45.057846
17,History of Aneurysm,2015-03-30 00:26:45.060426,2015-03-30 00:26:45.060426
18,Undergone Surgery to Treat Cluster Headache,2015-03-30 00:44:59.156719,2015-03-30 00:44:59.156719
19,Under 50 years of age,2015-03-30 01:03:49.30571,2015-03-30 01:03:49.30571
20,Non-Alzheimer's Dementia,2015-03-30 01:03:49.308685,2015-03-30 01:03:49.308685
21,Over 95 years of age,2015-03-30 01:06:06.221803,2015-03-30 01:06:06.221803
22,Diabetic,2015-03-30 01:06:06.224059,2015-03-30 01:06:06.224059
23,History of Liver Disease,2015-03-30 01:08:21.443845,2015-03-30 01:08:21.443845
24,History of Kidney Disease,2015-03-30 01:08:21.446463,2015-03-30 01:08:21.446463
25,Under 60 years of age,2015-03-30 01:10:38.540636,2015-03-30 01:10:38.540636
26,Active Smoker,2015-03-30 01:10:38.543769,2015-03-30 01:10:38.543769
27,HIV Positive,2015-03-30 01:10:38.546184,2015-03-30 01:10:38.546184
28,History of Cancer,2015-03-30 01:12:59.830188,2015-03-30 01:12:59.830188
29,Major Surgery in Past 6 Months,2015-03-30 01:12:59.833575,2015-03-30 01:12:59.833575
30,Non-Alzheimer's Neurodegenerative Disease,2015-03-30 01:27:54.307341,2015-03-30 01:27:54.307341
31,Illiterate,2015-03-30 01:58:48.977221,2015-03-30 01:58:48.977221
32,Suicidal Tendency,2015-03-30 02:00:23.465497,2015-03-30 02:00:23.465497
33,Cognitive Impairment,2015-03-30 02:11:24.286612,2015-03-30 02:11:24.286612
34,Non-English Speaking,2015-03-30 02:11:24.289316,2015-03-30 02:11:24.289316
35,Raynaud's Disease,2015-03-30 02:14:43.994016,2015-03-30 02:14:43.994016
36,Under 13 years of age,2015-03-30 02:19:15.388123,2015-03-30 02:19:15.388123
37,Under 12 years of age,2015-03-30 02:21:06.067643,2015-03-30 02:21:06.067643
38,Over 18 years of age,2015-03-30 02:21:06.070784,2015-03-30 02:21:06.070784
39,Have Pacemaker,2015-03-30 02:24:29.15859,2015-03-30 02:24:29.15859
40,Under 10 years of age,2015-03-30 02:32:52.609119,2015-03-30 02:32:52.609119
41,Hepatosis,2015-03-30 02:35:04.99234,2015-03-30 02:35:04.99234
42,Renal Dysfunction,2015-03-30 02:35:04.994582,2015-03-30 02:35:04.994582
43,Ischemic Heart Disease,2015-03-30 02:36:59.819085,2015-03-30 02:36:59.819085
44,Hepatitis C,2015-03-30 02:43:52.004597,2015-03-30 02:43:52.004597
45,Hepatitis B,2015-03-30 02:43:52.006884,2015-03-30 02:43:52.006884
46,Central Nervous System (CNS) Disorder,2015-03-30 02:57:21.980941,2015-03-30 02:57:21.980941
47,Photodermatosis,2015-03-30 03:14:03.193,2015-03-30 03:14:03.193
48,Photosensitivity,2015-03-30 03:14:03.19557,2015-03-30 03:14:03.19557
49,Toxic Dermatitis,2015-03-30 03:14:03.197754,2015-03-30 03:14:03.197754
50,Tuberculosis,2015-03-30 03:21:54.587245,2015-03-30 03:21:54.587245
51,Psoriasis,2015-03-30 03:21:54.590763,2015-03-30 03:21:54.590763
52,Inflammatory Bowel Disease,2015-03-30 03:26:58.827893,2015-03-30 03:26:58.827893
53,Constipation,2015-03-30 03:28:30.792451,2015-03-30 03:28:30.792451
54,Gastroenteritis,2015-03-30 03:32:11.779073,2015-03-30 03:32:11.779073
55,Wolff Parkinson White Syndrome,2015-03-30 03:38:23.237144,2015-03-30 03:38:23.237144
56,Glaucoma,2015-03-30 03:48:39.971215,2015-03-30 03:48:39.971215
57,Osteoporosis,2015-03-30 03:48:39.973744,2015-03-30 03:48:39.973744
58,Claustrophobia,2015-03-30 03:54:07.121712,2015-03-30 03:54:07.121712
