id,name,description,location,start_on,estimated_completed_on,number_of_views,number_of_appearances,doctor_id,created_at,updated_at,archived,primary_contact_email,principal,active,longitude,latitude
15,Sphenopalatine Ganglion Stimulation for the Acute Treatment of Cluster Headache,The purpose of the proposed clinical study is to evaluate the use of an implanted Neurostimulator to provide Sphenopalatine Ganglion (SPG) stimulation for the management of the pain associated with cluster headaches.,"1211 Medical Center Drive, Nashville, TN, United States",2015-12-30,2016-03-30,11,32,90,2015-03-30 00:41:35.361013,2015-03-30 12:00:09.64463,,bman@vanderbilt.com,Dr. Aaron Berndston,t,-86.8017829,36.1413237
5,Prevention and Acute Treatment of Chronic Cluster Headache,"Subjects enrolled into this 10 week study will for the first two weeks document the number of cluster headaches and the means of treating (medication) of these attacks. Subjects will then be randomized to into either two groups. The first group is continuing with standard of care and the second group is treatment with the investigational device (GammaCore) for a period of 4 weeks. After this 4 week period, all subjects will treat with the GammaCore for another 4 week period. It is hypothesized the the treatment group will have a reduction in mean cluster headaches per week by 50% compared to the standard of care group.","Duke Regional Hospital, Durham, NC, United States",2015-10-28,2016-03-24,13,36,39,2015-03-29 22:47:53.990567,2015-03-30 12:00:09.653962,,jam@duke.com,Dr. Jackson Mixer,t,-78.9000668,36.0368528
7,Study Of Sumatriptan Succinate Injection Kit In Patients With Migraine or Cluster Headache,"This study will be conducted to collect cases treated by self-injection of sumatriptan 3mg kit product for the treatment of migraine or cluster headache attacks in clinical settings, to demonstrate the efficacy, and to examine patient acceptability (simplicity and usefulness) and rate of successful self-injection.","1701 Jefferson Street, Baltimore, MD, United States",2016-01-27,2016-03-31,2,30,52,2015-03-30 00:22:36.728801,2015-03-30 12:00:09.660936,,dsimon@johnshopkins.com,Dr. David Simon,t,-76.5939733,39.2962631
12,Cluster Headache Cortivazol Injection (CHCI),the aim of tis study is to demonstrate the efficacy of cortivazol injections at the level of the greater occipital nerve to diminish the frequency of cluster headache (episodic or chronic) attacks during an active period. Injections will be used in adjunct with oral verapamil.,"1211 Medical Center Drive, Nashville, TN, United States",2015-10-28,2015-12-31,1,32,90,2015-03-30 00:33:30.626855,2015-03-30 12:00:09.663999,,bman@vanderbilt.com,Dr. Aaron Berndston,t,-86.8017829,36.1413237
9,Non-invasive Neurostimulation of the Vagus Nerve for the Treatment of Cluster Headache (CH),"Multi-center, prospective, double-blind, randomized, sham-controlled pivotal study of non-invasive vagus nerve stimulation with the GammaCore® device for the acute treatment of cluster headache. The study compares the safety and effectiveness of an active treatment (GammaCore) against a sham treatment.","1701 Jefferson Street, Baltimore, MD, United States",2016-01-27,2016-03-31,,29,52,2015-03-30 00:26:45.047222,2015-03-30 12:00:09.666529,,dsimon@johnshopkins.com,Dr. David Simon,t,-76.5939733,39.2962631
11,The Efficacy of L-cysteine in Prevention of Cluster Headache,The purpose of this study is to validate the novel hypothesis that daily use of L-cysteine (Acetium® capsules) is an effective means to decrease the frequency of (or completely abort) the attacks of cluster headache.,"1211 Medical Center Drive, Nashville, TN, United States",2015-12-23,2016-01-28,1,30,90,2015-03-30 00:31:52.063154,2015-03-30 12:00:09.668876,,bman@vanderbilt.com,Dr. Aaron Berndston,t,-86.8017829,36.1413237
6,Study of Hypothalamic Metabolism in Spontaneous Cluster Headache Attacks,"Cluster headache is characterized by unilateral excruciating head pain and autonomic dysfunction. Hypothalamic overactivity was observed in nitrate-induced cluster-headache and in only one case of spontaneous cluster headache 'Sprenger et al, 2004). This prompted the application of hypothalamic deep brain stimulation. The aim of this data is to precise the localisation of the hypothalamic activation.","1701 Jefferson Street, Baltimore, MD, United States",2015-12-23,2016-06-01,1,31,52,2015-03-30 00:20:02.461384,2015-03-30 12:00:09.67092,,dsimon@johnshopkins.com,Dr. David Simon,t,-76.5939733,39.2962631
8,A Study of LY2951742 in Participants With Episodic Cluster Headache,The main purpose of this study is to evaluate the efficacy and safety of the study drug known as LY2951742 in participants with episodic cluster headaches.,"1701 Jefferson Street, Baltimore, MD, United States",2015-11-25,2016-01-28,1,30,52,2015-03-30 00:24:15.126635,2015-03-30 12:00:09.65734,,dsimon@johnshopkins.com,Dr. David Simon,t,-76.5939733,39.2962631
18,Sphenopalatine Ganglion Stimulation for the Treatment of Chronic Cluster Headache,The primary objective of the study is to demonstrate the safety and efficacy of SPG stimulation with the ATI Neurostimulation System when used to treat acute cluster attacks in chronic cluster headache patients.,"1 Medical Center Boulevard, Winston-Salem, NC, United States",2016-01-21,2016-03-24,1,31,78,2015-03-30 00:48:39.207971,2015-03-30 12:00:09.673683,,drjohn@wfbmc.com,Dr. John Saddington,t,-80.2695779,36.0899096
20,Intranasal Civamide for Episodic Cluster Headache,This is a 49-day study to evaluate the effectiveness of Intranasal Civamide (Zucapsaicin) in the treatment of an episodic cluster headache period compared to placebo (medically inactive substance which does not contain any active ingredients).,"1 Medical Center Boulevard, Winston-Salem, NC, United States",2015-12-30,2016-04-07,,32,78,2015-03-30 00:51:37.107878,2015-03-30 12:00:09.676085,,drjohn@wfbmc.com,Dr. John Saddington,t,-80.2695779,36.0899096
17,A Randomized Multicentre Study for the Acute Relief of Episodic and Chronic Cluster Headache.,"The study is a prospective double blind, randomized, sham-controlled, multi-center investigation designed for comparison of two parallel groups, GammaCore® (active treatment) and a sham, (in-active) treatment. The study period begins with a 1-week run-in period, followed by a 2 week comparative period when the subjects are randomized (1:1) to either active treatment or sham (in-active) treatment. The comparative period will be followed by an open label 2 week period, where the subjects in the sham treatment group will switch in treatment assignment and receive an active treatment and the active group will continue to receive an active treatment.","1 Medical Center Boulevard, Winston-Salem, NC, United States",2015-11-25,2016-05-05,,30,78,2015-03-30 00:46:43.993414,2015-03-30 12:00:09.679558,,drjohn@wfbmc.com,Dr. John Saddington,t,-80.2695779,36.0899096
19,Administration of Oxygen to Cluster Headache Patients,This study will investigate the possible difference in treatment effect between three different oxygen delivery systems in the acute treatment of cluster headaches.,"1 Medical Center Boulevard, Winston-Salem, NC, United States",2015-11-25,2016-01-28,,30,78,2015-03-30 00:50:28.992728,2015-03-30 12:00:09.68218,,drjohn@wfbmc.com,Dr. John Saddington,t,-80.2695779,36.0899096
21,"Memantine and Comprehensive, Individualized Management of Alzheimer's Disease and Caregiver Training","Presently some 4.5 million people are afflicted with Alzheimer's disease in the United States. At present pharmacologic treatment, although beneficial, is not curative. Certain nonpharmacologic treatments have assisted caregivers of AD patients by reducing their stress and burden, and others have aided patients, by improving their mood and physical functioning. Comprehensive, individualized approaches to improving Alzheimer's patients' symptomatology and caregiver stress and burden have not been systematically investigated in Alzheimer's patient care. This study seeks to train and counsel caregivers as well as develop an individualized, comprehensive management program that will seek to enhance the functioning of each patient participant.
Patients are randomly placed into one of two groups. Both groups receive memantine and comprehensive evaluations at baseline, 4, 12,28 and 52 weeks. Additionally, group 1 receives an individualized management program, which consists of home visits to get the patient exercising, doing enjoyable activities and cognitive stimulation, educational sessions for caregivers on coping with difficult situations and a caregiver support group to help with questions and emotional concerns.","13001 East 17th Place, Aurora, CO, United States",2015-11-25,2016-03-31,,,17,2015-03-30 01:03:49.296535,2015-03-30 01:03:49.296535,,overboard@ucaurora.com,Joanna Stayton,t,-104.8377105,39.7451972
22,"A Single Site, Randomized, Double-blind, Placebo Controlled Trial of NIC5-15 in Subjects With Alzheimer's Disease","Recent epidemiologic evidence, has suggested that diabetes mellitus significantly increases risk for the development of Alzheimer's disease, independent of vascular risk factors. Moreover, even patients who are simply insulin resistant, without frank diabetes, have been shown to share this elevated risk for the development of AD. As insulin's role as a neuromodulator in the brain has been revealed, several potential mechanisms for the interaction of diabetes or insulin resistance with AD have been suggested such as decreased cortical glucose utilization particularly in the hippocampus and entorhinal cortex; increased oxidative stress through the formation of advanced glycation end products; increased Tau phosphorylation and neurofibrillary tangle formation; and increased beta-amyloid aggregation through inhibition of insulin-degrading enzyme. The future treatment of AD might involve pharmacologic and dietary manipulations of insulin and glucose regulation
NIC5-15 is a single, small, naturally occurring molecule. Animal studies and some human trials have shown NIC5-15 to be safe and a potent insulin sensitizer at doses equivalent to 800-2000mg per day. In preclinical studies at doses higher than those previously studied in clinical trials, we found that NIC5-15 interferes with the accumulation of beta amyloid, an important step in the development of Alzheimer's pathology. These data suggest that NIC5-15 may be a reasonable therapeutic agent for the treatment of Alzheimer Disease for two reasons:
It is a -secretase inhibitor that is Notch-sparing. It is potentially an insulin-sensitizer.
However critical safety and human efficacy studies must be conducted. This application proposes to conduct these early critical human studies. The goal of the studies contained in this proposal is to establish safety and efficacy of NIC5-15 for the treatment of AD. The specific objectives of this study are to:
Specific Objective #1) Conduct a multiple dose safety study of NIC5-15 to establish safety in the doses that appear to block amyloid accumulation. These studies will characterize the safety profile, pharmacokinetics, and tolerability
This objective was met with completion of the initial study ID#NCT00470418.
The current study continues investigations of NIC5-15 in Alzheimer's disease with the following objective:
Specific Objective #2) Conduct a double blind placebo controlled pilot efficacy study of NIC5-15 in patients with AD. The goals of this study are to:
A) Demonstrate feasibility for a multi-site trial that will be used to guide the design of a future larger effort. Demonstration of feasibility will include examination of accrual rate, overall recruitment, adherence to protocol, compliance with medication and willingness to complete a randomized trial, and lack of short term toxicity.
B) Collect preliminary evidence of efficacy in terms of cognitive and global measures as well as secondary efficacy outcomes of activities of daily living, behavioral disturbances and AD biomarkers.","13001 East 17th Place, Aurora, CO, United States",2015-10-22,2015-12-31,,,17,2015-03-30 01:06:06.209076,2015-03-30 01:06:06.209076,,overboard@ucaurora.com,Dr. Joanna Stayton,t,-104.8377105,39.7451972
23,A Phase 3 Study Evaluating Safety and Effectiveness of Immune Globulin Intravenous (IGIV 10%) for the Treatment of Mild-to-Moderate Alzheimer´s Disease,"Study visits: Each participant will be tested at the investigational site, and if qualified, will be treated intravenously (through a vein) every two weeks for 70 weeks (approximately 18 months). The first three infusions must be done at the site, but if the infusions are well tolerated, subsequent infusions may be done by a qualified healthcare provider in the home or other suitable location. Each participant must return to the site every 3 months for evaluation of cognition as well as blood tests and scans of the brain.","13001 East 17th Place, Aurora, CO, United States",2015-12-02,2016-01-28,,,17,2015-03-30 01:08:21.430223,2015-03-30 01:08:21.430223,,overboard@ucaurora.com,Joanna Stayton,t,-104.8377105,39.7451972
24,"Efficacy, Safety, & Tolerability of AZD3480 Patients With Mild to Moderate Dementia of the Alzheimer's Type (AD)","Alzheimer's disease is the most common form of dementia and is the fourth leading cause of death among people 65 years of age and older. The global prevalence of the disease will increase significantly as the population ages, unless preventative treatments can be identified and marketed. The present study seeks to evaluate AZD3480 (TC-1734) compared to an approved medication (donepezil) shown to improve cognition and function in patients with Alzheimer's disease.","13001 East 17th Place, Aurora, CO, United States",2015-12-23,2016-02-03,,,17,2015-03-30 01:10:38.528916,2015-03-30 01:10:38.528916,,overboard@ucaurora.com,Joanna Stayton,t,-104.8377105,39.7451972
25,Omental Transposition Surgery for Mild Alzheimer's Disease,"The experimental procedure to be performed is omental transposition surgery, during which a general surgeon and a neurosurgeon work as a team to transpose a pedicle omental graft to the surface of the brain. The general surgeon is responsible for performing a laparotomy/laparoscopy, elongating the omentum into a long pedicle and developing an extensive subcutaneous tunnel up the chest and neck to the head. The neurosurgeon is responsible for performing the craniotomy and securing the omentum on the brain.
Creating an intact omental pedicled flap requires the services of a general surgeon and neurosurgeon. The first step in the operation is to obtain access to the abdominal cavity laparoscopically using four 5cm trocars, or via laparotomy through an upper midline incision. The omentum is then removed from the transverse colon, after which it is separated from its proximal and central attachments to the stomach. The omentum detachments are made directly on the greater curvature of the stomach, leaving the gastroepiploic arteries and veins within the still-connected omentum apron.
Final separation of the omentum from the proximal portion of the stomach is done by dividing the left gastroepiploic vessels, which at the highest proximal level on the stomach become the short gastric vessels. The vascular connections to and from the omentum are now maintained solely from the right gastric and right gastroepiploic vessels. In order for the omental pedicle graft to reach the brain without tension, further surgical tailoring of the omentum is carried out, with care being taken to ensure the preservation of a major omental artery and vein.
After the omentum has been lengthened to an appropriate extent to reach the head, several small (3- to 4-inch) transverse incisions are made on the chest wall slightly lateral to the midline, with the side of the midline to make the transverse incisions depending on which cerebral hemisphere the omentum is to be placed. These transverse incisions are connected subcutaneously, thus creating a tunnel that begins at the upper pole of the midline abdominal incision and travels subcutaneously, up the chest wall and neck to behind the ear.","13001 East 17th Place, Aurora, CO, United States",2016-01-27,2016-02-04,,,17,2015-03-30 01:12:59.817454,2015-03-30 01:12:59.817454,,overboard@ucaurora.com,Dr. Joanna Stayton,t,-104.8377105,39.7451972
26,Safety and Efficacy Study Evaluating TRx0237 in Subjects With Mild Alzheimer's Disease,The purpose of this study is to determine the safety and efficacy of TRx0237 in the treatment of subjects with mild Alzheimer's Disease.,"550 1st Avenue, NY, United States",2015-11-25,2016-03-30,,,1,2015-03-30 01:19:51.825444,2015-03-30 01:19:51.825444,,kellen@nyu.com,Dr. Kenneth Ellen,t,-73.9740858,40.7423034
27,Safety and Efficacy Study Evaluating TRx0237 in Subjects With Mild to Moderate Alzheimer's Disease,The purpose of this study is to determine the safety and efficacy of TRx0237 in the treatment of subjects with mild to moderate Alzheimer's Disease.,"550 1st Avenue, NY, United States",2015-09-24,2015-11-26,,,1,2015-03-30 01:22:50.827473,2015-03-30 01:22:50.827473,,kellen@nyu.com,Dr. Kenneth Ellen,t,-73.9740858,40.7423034
28,"Randomized, Controlled Study Evaluating CERE-110 in Subjects With Mild to Moderate Alzheimer's Disease","The purpose of this study is to evaluate the potential benefits of CERE-110 in the treatment of Alzheimer's disease. CERE-110 is an experimental drug that is designed to help nerve cells in the brain function better. CERE-110 uses a virus to transfer a gene that makes Nerve Growth Factor (NGF), a protein that may make nerve cells in the brain healthier and protect them from dying. The virus used in CERE-110 does not cause disease in people. CERE-110 has been carefully studied in laboratory animals and is in the early stages of being tested in people.
Fifty patients with mild to moderate Alzheimer's disease will participate in this study. Half of the study subjects will have CERE-110 injected into the brain during a surgical procedure, while the other half will undergo a ""placebo"" surgery where no medication will be injected. All study participants will be followed for at least two years after surgery.","550 1st Avenue, NY, United States",2015-09-23,2015-12-31,,,1,2015-03-30 01:24:28.983808,2015-03-30 01:24:28.983808,,kellen@nyu.com,Dr. Kenneth Ellen,t,-73.9740858,40.7423034
29,"Effects of LY450139, on the Progression of Alzheimer's Disease as Compared With Placebo (IDENTITY-2)","Alzheimer's disease (AD) is a fatal degenerative disease of the brain for which there is no cure. AD causes brain cells to die. AD is thought to be caused by an excess of beta amyloid (β-amyloid), a sticky protein in the brain that forms amyloid plaques. At autopsy, AD patients are required to have these amyloid plaques in the brain in order to have a definitive diagnosis of AD. Inhibiting the enzyme gamma-secretase (γ-secretase) lowers the production of β-amyloid. Semagacestat (LY450139) is a functional γ-secretase inhibitor and was shown to lower β-amyloid in blood and spinal fluid in humans tested thus far and in blood, spinal fluid and brain in animals tested thus far. This study used several different tests to measure the effect of semagacestat on both β-amyloid and amyloid plaques for some patients. The buildup of amyloid plaques was measured by a brain scan that takes a picture of amyloid plaques in the brain. Other tests measured the overall function of the brain and brain size in some patients. In this trial, patients who initially received placebo (inactive sugar pill) were, at a certain point in the study, switched over to active drug, semagacestat. In other words, all patients could eventually receive active drug. Each patient's participation could last approximately 2 years. Patients taking approved AD medications were permitted to participate in this study and continue taking these medications during the study. All patients who completed this study had the option to continue receiving semagacestat by participating in an open label study.
Preliminary results from this study (LFBC) (and another similar study LFAN [NCT00594568]) showed semagacestat did not slow disease progression and was associated with worsening of clinical measures of cognition and the ability to perform activities of daily living. Study drug was stopped in all studies. LFBC, LFAN and open label LFBF (NCT01035138) have been amended to continue collecting safety data, including cognitive scores, for at least seven months. The CT-Registry will reflect results of analyses from the original protocol in addition to those from the amended protocol.","550 1st Avenue, NY, United States",2015-10-28,2015-12-31,,,1,2015-03-30 01:25:51.275251,2015-03-30 01:25:51.275251,,kellen@nyu.com,Dr. Kenneth Ellen,t,-73.9740858,40.7423034
30,Clinical Trial of Donepezil Between the Patients With Alzheimer's Disease and Mixed Dementia,"To compare the clinical efficacy of donepezil between patients with Alzheimer's disease and Mixed Dementia.
","550 1st Avenue, NY, United States",2015-12-23,2016-01-27,,,1,2015-03-30 01:27:54.299125,2015-03-30 01:27:54.299125,,kellen@nyu.com,Dr. Kenneth Ellen,t,-73.9740858,40.7423034
